year_bin_start,probability_density
-8160,1.1111111111111112e-05
-7080,1.1111111111111112e-05
-6430,1.1111111111111112e-05
-6320,1.1111111111111112e-05
-6240,1.1111111111111112e-05
-6180,1.1111111111111112e-05
-5810,1.1111111111111112e-05
-5780,1.1111111111111112e-05
-5700,1.1111111111111112e-05
-5680,1.1111111111111112e-05
-5570,1.1111111111111112e-05
-5280,1.1111111111111112e-05
-5210,1.1111111111111112e-05
-5150,1.1111111111111112e-05
-5130,1.1111111111111112e-05
-5080,1.1111111111111112e-05
-5010,1.1111111111111112e-05
-4910,2.2222222222222223e-05
-4780,1.1111111111111112e-05
-4700,1.1111111111111112e-05
-4690,1.1111111111111112e-05
-4680,1.1111111111111112e-05
-4670,1.1111111111111112e-05
-4630,1.1111111111111112e-05
-4540,1.1111111111111112e-05
-4510,1.1111111111111112e-05
-4500,1.1111111111111112e-05
-4420,2.2222222222222223e-05
-4410,1.1111111111111112e-05
-4380,2.2222222222222223e-05
-4370,1.1111111111111112e-05
-4350,1.1111111111111112e-05
-4340,3.3333333333333335e-05
-4330,1.1111111111111112e-05
-4320,1.1111111111111112e-05
-4300,1.1111111111111112e-05
-4270,1.1111111111111112e-05
-4250,1.1111111111111112e-05
-4240,1.1111111111111112e-05
-4230,1.1111111111111112e-05
-4220,1.1111111111111112e-05
-4210,2.2222222222222223e-05
-4200,3.3333333333333335e-05
-4180,1.1111111111111112e-05
-4140,2.2222222222222223e-05
-4120,1.1111111111111112e-05
-4110,1.1111111111111112e-05
-4080,2.2222222222222223e-05
-4030,1.1111111111111112e-05
-3990,1.1111111111111112e-05
-3970,1.1111111111111112e-05
-3950,2.2222222222222223e-05
-3930,1.1111111111111112e-05
-3910,1.1111111111111112e-05
-3900,3.3333333333333335e-05
-3890,1.1111111111111112e-05
-3860,1.1111111111111112e-05
-3850,5.555555555555556e-05
-3840,2.2222222222222223e-05
-3830,1.1111111111111112e-05
-3820,2.2222222222222223e-05
-3810,1.1111111111111112e-05
-3790,1.1111111111111112e-05
-3780,1.1111111111111112e-05
-3770,1.1111111111111112e-05
-3760,2.2222222222222223e-05
-3750,2.2222222222222223e-05
-3730,1.1111111111111112e-05
-3720,2.2222222222222223e-05
-3700,1.1111111111111112e-05
-3690,1.1111111111111112e-05
-3680,1.1111111111111112e-05
-3670,2.2222222222222223e-05
-3660,1.1111111111111112e-05
-3650,1.1111111111111112e-05
-3640,2.2222222222222223e-05
-3630,3.3333333333333335e-05
