assumption,peak_probability_impact,peak_year_impact,score
Intelligence fraction,0.0671050283082052,0,1.4116854960442777
Transmit power,0.041503125220513803,0,0.8730993994252567
Communicative fraction,0.02824333967826198,0,0.594153880697777
Life fraction,0.022528537556753325,0,0.473931842631661
Radio-window lifetime,0.016375028686433257,0,0.34448075020214663
Beam coverage,0.016038050206046872,0,0.3373917488972722
Frequency coverage,0.012450888656265757,0,0.2619287909124303
Duty cycle,0.011198519568693666,0,0.23558275811590512
Power rolloff,0.001619072975697633,0,0.034060366181979926
Catalog selection bias,0.0007717067103318875,0,0.016234359743834016
Variable correlation,0.0,0,0.0
